source_file,base_model,adapter_type,lr,rank,tr_from_name,tr_actual,accuracy,negative_shift_count,negative_shift_score,positive_shift_count,positive_shift_score,raw_adapter_name
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-3,4.0,100,100,0.852,538,523.5,2555,2299.5000000000005,meta-llama_Llama-3.1-8B-Instruct_lora_tr100_lora_r4_lr1e-3
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-4,4.0,100,100,0.135,710,684.9000000000001,611,549.9000000000001,meta-llama_Llama-3.1-8B-Instruct_lora_tr100_lora_r4_lr1e-4
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-5,4.0,100,100,0.04300000000000001,108,100.40000000000003,37,33.3,meta-llama_Llama-3.1-8B-Instruct_lora_tr100_lora_r4_lr1e-5
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-3,4.0,500,500,0.0166,1001,972.1000000000001,24,21.6,meta-llama_Llama-3.1-8B-Instruct_lora_tr500_lora_r4_lr1e-3
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-4,4.0,500,500,0.025,1009,978.5000000000002,30,26.999999999999993,meta-llama_Llama-3.1-8B-Instruct_lora_tr500_lora_r4_lr1e-4
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-5,4.0,500,500,0.09220000000000002,527,504.6000000000001,245,220.50000000000009,meta-llama_Llama-3.1-8B-Instruct_lora_tr500_lora_r4_lr1e-5
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-3,4.0,1000,1000,0.2353,827,803.7,749,674.1000000000001,meta-llama_Llama-3.1-8B-Instruct_lora_tr1000_lora_r4_lr1e-3
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-4,4.0,1000,1000,0.474,520,504.4,1851,1665.9000000000005,meta-llama_Llama-3.1-8B-Instruct_lora_tr1000_lora_r4_lr1e-4
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-5,4.0,1000,1000,0.12190000000000001,548,525.3,441,396.9000000000001,meta-llama_Llama-3.1-8B-Instruct_lora_tr1000_lora_r4_lr1e-5
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-3,4.0,2000,2000,0.0127,1041,1011.0,36,32.4,meta-llama_Llama-3.1-8B-Instruct_lora_tr2000_lora_r4_lr1e-3
