source_file,base_model,adapter_type,lr,rank,tr_from_name,tr_actual,accuracy,negative_shift_count,negative_shift_score,positive_shift_count,positive_shift_score,raw_adapter_name
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-3,4.0,100,100,0.852,1483,1100.7,6521,5082.300000000001,meta-llama_Llama-3.1-8B-Instruct_lora_tr100_lora_r4_lr1e-3
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-4,4.0,100,100,0.135,2339,1690.7000000000003,2207,1620.6,meta-llama_Llama-3.1-8B-Instruct_lora_tr100_lora_r4_lr1e-4
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-5,4.0,100,100,0.04300000000000001,1453,904.6,476,304.2,meta-llama_Llama-3.1-8B-Instruct_lora_tr100_lora_r4_lr1e-5
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-3,4.0,500,500,0.0166,3131,2285.8,91,65.49999999999999,meta-llama_Llama-3.1-8B-Instruct_lora_tr500_lora_r4_lr1e-3
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-4,4.0,500,500,0.025,3088,2259.1,151,105.9,meta-llama_Llama-3.1-8B-Instruct_lora_tr500_lora_r4_lr1e-4
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-5,4.0,500,500,0.09220000000000002,2230,1551.8999999999999,1318,910.2,meta-llama_Llama-3.1-8B-Instruct_lora_tr500_lora_r4_lr1e-5
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-3,4.0,1000,1000,0.2353,2537,1853.5,2208,1676.8000000000002,meta-llama_Llama-3.1-8B-Instruct_lora_tr1000_lora_r4_lr1e-3
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-4,4.0,1000,1000,0.474,1632,1186.9,5112,3921.9000000000005,meta-llama_Llama-3.1-8B-Instruct_lora_tr1000_lora_r4_lr1e-4
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-5,4.0,1000,1000,0.12190000000000001,2079,1467.2,2025,1434.0,meta-llama_Llama-3.1-8B-Instruct_lora_tr1000_lora_r4_lr1e-5
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-3,4.0,2000,2000,0.0127,3158,2315.6000000000004,138,99.39999999999999,meta-llama_Llama-3.1-8B-Instruct_lora_tr2000_lora_r4_lr1e-3
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-4,4.0,2000,2000,0.09665,2801,2047.3999999999999,878,631.8,meta-llama_Llama-3.1-8B-Instruct_lora_tr2000_lora_r4_lr1e-4
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-5,4.0,2000,2000,0.09525,2335,1666.7,1443,1021.9000000000001,meta-llama_Llama-3.1-8B-Instruct_lora_tr2000_lora_r4_lr1e-5
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-3,4.0,3000,3000,0.010900000000000002,3183,2336.2,82,59.20000000000001,meta-llama_Llama-3.1-8B-Instruct_lora_tr3000_lora_r4_lr1e-3
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-4,4.0,3000,3000,0.031733333333333336,2952,2154.3,383,277.0,meta-llama_Llama-3.1-8B-Instruct_lora_tr3000_lora_r4_lr1e-4
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-5,4.0,3000,3000,0.021400000000000002,2875,2063.8,351,245.80000000000004,meta-llama_Llama-3.1-8B-Instruct_lora_tr3000_lora_r4_lr1e-5
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-3,4.0,4000,4000,0.016274999999999998,3147,2312.6,172,128.8,meta-llama_Llama-3.1-8B-Instruct_lora_tr4000_lora_r4_lr1e-3
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-4,4.0,4000,4000,0.022725000000000002,3007,2192.5,339,249.7,meta-llama_Llama-3.1-8B-Instruct_lora_tr4000_lora_r4_lr1e-4
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-5,4.0,4000,4000,0.027225,2779,1995.1,450,317.9,meta-llama_Llama-3.1-8B-Instruct_lora_tr4000_lora_r4_lr1e-5
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-3,4.0,5000,5000,0.03766,3151,2316.8999999999996,249,185.0,meta-llama_Llama-3.1-8B-Instruct_lora_tr5000_lora_r4_lr1e-3
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-4,4.0,5000,5000,0.057679999999999995,2926,2132.3999999999996,602,444.70000000000005,meta-llama_Llama-3.1-8B-Instruct_lora_tr5000_lora_r4_lr1e-4
meta-llama_Llama-3.1-8B-Instruct_scores-lora.jsonl,Llama-3.1-8B-Instruct,lora,1e-5,4.0,5000,5000,0.03524,2820,2030.3,482,337.09999999999997,meta-llama_Llama-3.1-8B-Instruct_lora_tr5000_lora_r4_lr1e-5
meta-llama_Llama-3.1-8B-Instruct_scores-randlora.jsonl,Llama-3.1-8B-Instruct,randlora,1e-3,512.0,100,100,0.263,1711,1215.3000000000002,3961,2944.4000000000005,meta-llama_Llama-3.1-8B-Instruct_randlora_tr100_randlora_r512_lr1e-3
meta-llama_Llama-3.1-8B-Instruct_scores-randlora.jsonl,Llama-3.1-8B-Instruct,randlora,1e-4,512.0,100,100,0.032,822,482.0,508,308.70000000000005,meta-llama_Llama-3.1-8B-Instruct_randlora_tr100_randlora_r512_lr1e-4
meta-llama_Llama-3.1-8B-Instruct_scores-randlora.jsonl,Llama-3.1-8B-Instruct,randlora,1e-5,512.0,100,100,0.008,111,58.3,100,53.099999999999994,meta-llama_Llama-3.1-8B-Instruct_randlora_tr100_randlora_r512_lr1e-5
meta-llama_Llama-3.1-8B-Instruct_scores-randlora.jsonl,Llama-3.1-8B-Instruct,randlora,1e-3,512.0,500,500,0.23060000000000003,2250,1610.6,2320,1710.1000000000001,meta-llama_Llama-3.1-8B-Instruct_randlora_tr500_randlora_r512_lr1e-3
meta-llama_Llama-3.1-8B-Instruct_scores-randlora.jsonl,Llama-3.1-8B-Instruct,randlora,1e-4,512.0,500,500,0.2638,1548,1070.9,4002,2930.5,meta-llama_Llama-3.1-8B-Instruct_randlora_tr500_randlora_r512_lr1e-4
meta-llama_Llama-3.1-8B-Instruct_scores-randlora.jsonl,Llama-3.1-8B-Instruct,randlora,1e-5,512.0,500,500,0.012,162,87.5,197,106.80000000000001,meta-llama_Llama-3.1-8B-Instruct_randlora_tr500_randlora_r512_lr1e-5
meta-llama_Llama-3.1-8B-Instruct_scores-randlora.jsonl,Llama-3.1-8B-Instruct,randlora,1e-3,512.0,1000,1000,0.1165,2604,1867.0,1059,761.4,meta-llama_Llama-3.1-8B-Instruct_randlora_tr1000_randlora_r512_lr1e-3
meta-llama_Llama-3.1-8B-Instruct_scores-randlora.jsonl,Llama-3.1-8B-Instruct,randlora,1e-4,512.0,1000,1000,0.173,1903,1332.1999999999998,2717,1965.3,meta-llama_Llama-3.1-8B-Instruct_randlora_tr1000_randlora_r512_lr1e-4
meta-llama_Llama-3.1-8B-Instruct_scores-randlora.jsonl,Llama-3.1-8B-Instruct,randlora,1e-5,512.0,1000,1000,0.0281,1010,605.6999999999999,511,314.1,meta-llama_Llama-3.1-8B-Instruct_randlora_tr1000_randlora_r512_lr1e-5
meta-llama_Llama-3.1-8B-Instruct_scores-randlora.jsonl,Llama-3.1-8B-Instruct,randlora,1e-3,512.0,2000,2000,0.3314,2149,1570.6,3544,2705.0,meta-llama_Llama-3.1-8B-Instruct_randlora_tr2000_randlora_r512_lr1e-3
meta-llama_Llama-3.1-8B-Instruct_scores-randlora.jsonl,Llama-3.1-8B-Instruct,randlora,1e-4,512.0,2000,2000,0.1409,2052,1440.1999999999998,2204,1581.4,meta-llama_Llama-3.1-8B-Instruct_randlora_tr2000_randlora_r512_lr1e-4
meta-llama_Llama-3.1-8B-Instruct_scores-randlora.jsonl,Llama-3.1-8B-Instruct,randlora,1e-5,512.0,2000,2000,0.19655,1607,1066.1999999999998,2293,1603.7000000000003,meta-llama_Llama-3.1-8B-Instruct_randlora_tr2000_randlora_r512_lr1e-5
meta-llama_Llama-3.1-8B-Instruct_scores-randlora.jsonl,Llama-3.1-8B-Instruct,randlora,1e-3,512.0,3000,3000,0.25633333333333336,2146,1568.0,3188,2414.3,meta-llama_Llama-3.1-8B-Instruct_randlora_tr3000_randlora_r512_lr1e-3
meta-llama_Llama-3.1-8B-Instruct_scores-randlora.jsonl,Llama-3.1-8B-Instruct,randlora,1e-4,512.0,3000,3000,0.057133333333333335,2505,1788.3999999999999,875,610.0,meta-llama_Llama-3.1-8B-Instruct_randlora_tr3000_randlora_r512_lr1e-4
meta-llama_Llama-3.1-8B-Instruct_scores-randlora.jsonl,Llama-3.1-8B-Instruct,randlora,1e-5,512.0,3000,3000,0.23843333333333333,1517,1021.0,3174,2256.4,meta-llama_Llama-3.1-8B-Instruct_randlora_tr3000_randlora_r512_lr1e-5
meta-llama_Llama-3.1-8B-Instruct_scores-randlora.jsonl,Llama-3.1-8B-Instruct,randlora,1e-3,512.0,4000,4000,0.13555,2550,1851.1,1572,1164.6,meta-llama_Llama-3.1-8B-Instruct_randlora_tr4000_randlora_r512_lr1e-3
meta-llama_Llama-3.1-8B-Instruct_scores-randlora.jsonl,Llama-3.1-8B-Instruct,randlora,1e-4,512.0,4000,4000,0.0737,2507,1800.4,1271,919.6,meta-llama_Llama-3.1-8B-Instruct_randlora_tr4000_randlora_r512_lr1e-4
meta-llama_Llama-3.1-8B-Instruct_scores-randlora.jsonl,Llama-3.1-8B-Instruct,randlora,1e-5,512.0,4000,4000,0.256725,1520,1027.1,3741,2692.3,meta-llama_Llama-3.1-8B-Instruct_randlora_tr4000_randlora_r512_lr1e-5
meta-llama_Llama-3.1-8B-Instruct_scores-randlora.jsonl,Llama-3.1-8B-Instruct,randlora,1e-3,512.0,5000,5000,0.1236,2611,1906.0,1354,995.1,meta-llama_Llama-3.1-8B-Instruct_randlora_tr5000_randlora_r512_lr1e-3
meta-llama_Llama-3.1-8B-Instruct_scores-randlora.jsonl,Llama-3.1-8B-Instruct,randlora,1e-4,512.0,5000,5000,0.04212,2674,1917.1,707,501.1,meta-llama_Llama-3.1-8B-Instruct_randlora_tr5000_randlora_r512_lr1e-4
meta-llama_Llama-3.1-8B-Instruct_scores-randlora.jsonl,Llama-3.1-8B-Instruct,randlora,1e-5,512.0,5000,5000,0.25304,1491,1019.6,3982,2904.4000000000005,meta-llama_Llama-3.1-8B-Instruct_randlora_tr5000_randlora_r512_lr1e-5
meta-llama_Llama-3.1-8B-Instruct_scores-uiortholora.jsonl,Llama-3.1-8B-Instruct,uiortholora,1e-3,,100,100,0.019,1097,651.4000000000001,402,245.59999999999997,meta-llama_Llama-3.1-8B-Instruct_uiortholora_tr100_uiortholora_s256_v64_lr1e-3
meta-llama_Llama-3.1-8B-Instruct_scores-uiortholora.jsonl,Llama-3.1-8B-Instruct,uiortholora,1e-4,,100,100,0.006,212,113.7,96,51.8,meta-llama_Llama-3.1-8B-Instruct_uiortholora_tr100_uiortholora_s256_v64_lr1e-4
meta-llama_Llama-3.1-8B-Instruct_scores-uiortholora.jsonl,Llama-3.1-8B-Instruct,uiortholora,1e-5,,100,100,0.004,221,119.1,51,27.4,meta-llama_Llama-3.1-8B-Instruct_uiortholora_tr100_uiortholora_s256_v64_lr1e-5
meta-llama_Llama-3.1-8B-Instruct_scores-uiortholora.jsonl,Llama-3.1-8B-Instruct,uiortholora,1e-3,,500,500,0.2896,1457,987.2,3689,2665.3,meta-llama_Llama-3.1-8B-Instruct_uiortholora_tr500_uiortholora_s256_v64_lr1e-3
meta-llama_Llama-3.1-8B-Instruct_scores-uiortholora.jsonl,Llama-3.1-8B-Instruct,uiortholora,1e-4,,500,500,0.0108,521,290.7,219,126.09999999999998,meta-llama_Llama-3.1-8B-Instruct_uiortholora_tr500_uiortholora_s256_v64_lr1e-4
meta-llama_Llama-3.1-8B-Instruct_scores-uiortholora.jsonl,Llama-3.1-8B-Instruct,uiortholora,1e-5,,500,500,0.006,241,129.10000000000002,51,28.1,meta-llama_Llama-3.1-8B-Instruct_uiortholora_tr500_uiortholora_s256_v64_lr1e-5
meta-llama_Llama-3.1-8B-Instruct_scores-uiortholora.jsonl,Llama-3.1-8B-Instruct,uiortholora,1e-3,,1000,1000,0.24,1550,1072.1,3980,2924.4000000000005,meta-llama_Llama-3.1-8B-Instruct_uiortholora_tr1000_uiortholora_s256_v64_lr1e-3
