num_svalues,num_svectors,head_lr,adapter_lr,scaler,sigma,use_de,score,seed,timestamp
256,0,0.005,0.01,0.01,0.1,True,0.69022205,42,20260427-143329
256,0,0.005,0.01,0.01,0.1,True,0.69655916,123,20260427-151622
256,0,0.005,0.01,0.01,0.1,True,0.69978071,2021,20260427-155905
256,0,0.005,0.01,0.01,0.1,True,0.68250856,17,20260427-164143
256,0,0.005,0.01,0.01,0.1,True,0.67381577,31415,20260427-172428
256,0,0.005,0.01,0.01,0.1,True,0.68032437,1054,20260427-180656
256,30,0.005,0.01,0.01,0.1,True,0.68765307,42,20260429-112037
256,60,0.005,0.01,0.01,0.1,True,0.67451323,42,20260429-143753
256,90,0.005,0.01,0.01,0.1,True,0.67738619,42,20260429-175705
256,45,0.005,0.01,0.01,0.1,True,0.67451323,123,20260430-172813
256,45,0.005,0.01,0.01,0.1,True,0.67874679,2021,20260430-194748
256,45,0.005,0.01,0.01,0.1,True,0.66907676,17,20260430-221014
